schema,table,index_name,columns,is_unique,is_primary,index_type
pg_toast,pg_toast_3466,pg_toast_3466_index,"chunk_id,chunk_seq",True,True,btree
pg_toast,pg_toast_35234,pg_toast_35234_index,"chunk_id,chunk_seq",True,True,btree
pg_toast,pg_toast_35256,pg_toast_35256_index,"chunk_id,chunk_seq",True,True,btree
pg_toast,pg_toast_35300,pg_toast_35300_index,"chunk_id,chunk_seq",True,True,btree
pg_toast,pg_toast_35324,pg_toast_35324_index,"chunk_id,chunk_seq",True,True,btree
pg_toast,pg_toast_35654,pg_toast_35654_index,"chunk_id,chunk_seq",True,True,btree
pg_toast,pg_toast_35789,pg_toast_35789_index,"chunk_id,chunk_seq",True,True,btree
pg_toast,pg_toast_3592,pg_toast_3592_index,"chunk_id,chunk_seq",True,True,btree
pg_toast,pg_toast_3596,pg_toast_3596_index,"chunk_id,chunk_seq",True,True,btree
pg_toast,pg_toast_3600,pg_toast_3600_index,"chunk_id,chunk_seq",True,True,btree
pg_toast,pg_toast_6000,pg_toast_6000_index,"chunk_id,chunk_seq",True,True,btree
pg_toast,pg_toast_6100,pg_toast_6100_index,"chunk_id,chunk_seq",True,True,btree
pg_toast,pg_toast_6106,pg_toast_6106_index,"chunk_id,chunk_seq",True,True,btree
pg_toast,pg_toast_6243,pg_toast_6243_index,"chunk_id,chunk_seq",True,True,btree
pg_toast,pg_toast_826,pg_toast_826_index,"chunk_id,chunk_seq",True,True,btree
public,audit_log,audit_log_pkey,id,True,True,btree
public,banks,banks_acronym_key,acronym,True,False,btree
public,banks,banks_pkey,id,True,True,btree
public,banks,idx_banks_active,is_active,False,False,btree
public,banks,idx_banks_country,country_code,False,False,btree
public,broker_markups,broker_markups_currency_code_key,currency_code,True,False,btree
public,broker_markups,broker_markups_pkey,id,True,True,btree
public,business_units,business_units_pkey,id,True,True,btree
public,currency_rates,currency_rates_pkey,id,True,True,btree
public,currency_rates,idx_currency_rates_iso_base_unique,"iso,base_currency",True,False,btree
public,currency_rates,idx_currency_rates_updated_at,updated_at,False,False,btree
public,downline_filter_presets,downline_filter_presets_pkey,id,True,True,btree
public,downline_filter_presets,idx_downline_filter_presets_user_id,user_id,False,False,btree
public,downline_filter_presets,uq_downline_filter_presets_user_name,"user_id,name",True,False,btree
public,goose_db_version,goose_db_version_pkey,id,True,True,btree
public,ib_upgrade_history,ib_upgrade_history_pkey,id,True,True,btree
public,ib_upgrade_history,idx_ib_upgrade_history_status,status,False,False,btree
public,ib_upgrade_history,idx_ib_upgrade_history_unique_pending,user_id,True,False,btree
public,ib_upgrade_history,idx_ib_upgrade_history_user_id,user_id,False,False,btree
public,ib_upgrade_history,idx_ib_upgrade_history_user_id_status,"user_id,status",False,False,btree
public,ledger_accounts,idx_ledger_accounts_account_class_id,account_class_id,False,False,btree
public,ledger_accounts,ledger_accounts_account_id_key,account_id,True,False,btree
public,ledger_accounts,ledger_accounts_pkey,id,True,True,btree
public,ledger_chart_of_accounts,ledger_chart_of_accounts_pkey,id,True,True,btree
public,ledger_entries,idx_ledger_entries_account_id,account_id,False,False,btree
public,ledger_entries,idx_ledger_entries_idempotency,"reference_id,event_type,account_id,entry_type",True,False,btree
public,ledger_entries,idx_ledger_entries_reference_id,reference_id,False,False,btree
public,ledger_entries,ledger_entries_pkey,id,True,True,btree
public,modules,modules_pkey,id,True,True,btree
public,modules,ui_modules_code,code,True,False,btree
public,mt5_account_equity_snapshots,idx_equity_snapshots_account_equity,"account_id,equity",False,False,btree
public,mt5_account_equity_snapshots,idx_equity_snapshots_account_profit,"account_id,profit",False,False,btree
public,mt5_account_equity_snapshots,idx_equity_snapshots_account_time,"account_id,created_at",False,False,btree
public,mt5_account_equity_snapshots,mt5_account_equity_snapshots_pkey,id,True,True,btree
public,mt5_account_groups,mt5_account_groups_group_name_key,group_name,True,False,btree
public,mt5_account_groups,mt5_account_groups_pkey,id,True,True,btree
public,mt5_account_transactions,idx_mt5_txn_account_created,"mt5_account_id,created_at",False,False,btree
public,mt5_account_transactions,idx_mt5_txn_event_type,event_type,False,False,btree
public,mt5_account_transactions,idx_mt5_txn_number,transaction_number,True,False,btree
public,mt5_account_transactions,idx_mt5_txn_psp_detail,psp_detail_id,False,False,btree
public,mt5_account_transactions,idx_mt5_txn_reference,reference_id,False,False,btree
public,mt5_account_transactions,idx_mt5_txn_status,status,False,False,btree
public,mt5_account_transactions,idx_mt5_txn_ticket_type,"mt5_ticket,event_type",True,False,btree
public,mt5_account_transactions,idx_mt5_txn_user_created,"user_id,created_at",False,False,btree
public,mt5_account_transactions,mt5_account_transactions_pkey,id,True,True,btree
public,mt5_accounts,idx_mt5_accounts_login,login,False,False,btree
public,mt5_accounts,idx_mt5_accounts_user_id,user_id,False,False,btree
public,mt5_accounts,mt5_accounts_pkey,id,True,True,btree
public,mt5_deals,idx_mt5_deals_account_entry,"account_id,entry",False,False,btree
public,mt5_deals,idx_mt5_deals_account_entry_time,"account_id,entry,time",False,False,btree
public,mt5_deals,idx_mt5_deals_account_profit_time,"account_id,profit,time",False,False,btree
public,mt5_deals,idx_mt5_deals_deal_unique,deal,True,False,btree
public,mt5_deals,idx_mt5_deals_position_entry,"position_id,entry",False,False,btree
public,mt5_deals,idx_mt5_deals_user_entry_time,"user_id,entry,time",False,False,btree
public,mt5_deals,mt5_deals_pkey,id,True,True,btree
public,mt5_deals_in,idx_mt5_deals_in_deal_unique,deal,True,False,btree
public,mt5_deals_in,mt5_deals_in_pkey,id,True,True,btree
public,mt5_deals_out,idx_mt5_deals_out_deal_unique,deal,True,False,btree
public,mt5_deals_out,mt5_deals_out_pkey,id,True,True,btree
public,mt5_deals_out_rebates,idx_mt5_deals_out_rebates_deal_unique,deal,True,False,btree
public,mt5_deals_out_rebates,idx_mt5_deals_out_rebates_login,login,False,False,btree
public,mt5_deals_out_rebates,idx_mt5_deals_out_rebates_user_id,user_id,False,False,btree
public,mt5_deals_out_rebates,mt5_deals_out_rebates_pkey,id,True,True,btree
public,mt5_demo_account_groups,mt5_demo_account_groups_group_name_key,group_name,True,False,btree
public,mt5_demo_account_groups,mt5_demo_account_groups_pkey,id,True,True,btree
public,mt5_demo_accounts,mt5_demo_accounts_pkey,id,True,True,btree
public,mt5_position_complete_details,idx_mt5_position_complete_details_deal,deal,True,False,btree
public,mt5_position_complete_details,idx_mt5_position_complete_details_login,login,False,False,btree
public,mt5_position_complete_details,idx_mt5_position_complete_details_mt5_position_complete_id,mt5_position_complete_id,False,False,btree
public,mt5_position_complete_details,idx_mt5_position_complete_details_position_id,position_id,False,False,btree
public,mt5_position_complete_details,mt5_position_complete_details_pkey,id,True,True,btree
public,mt5_position_completes,idx_mt5_position_completes_login,login,False,False,btree
public,mt5_position_completes,idx_mt5_position_completes_position_id,position_id,True,False,btree
public,mt5_position_completes,idx_mt5_position_completes_user_id,user_id,False,False,btree
public,mt5_position_completes,mt5_position_completes_pkey,id,True,True,btree
public,mt5_positions,idx_mt5_positions_user_time_create,"user_id,time_create",False,False,btree
public,mt5_positions,mt5_positions_pkey,id,True,True,btree
public,mt5_sync_batches,idx_mt5_sync_batches_running_unique,batch_type,True,False,btree
public,mt5_sync_batches,mt5_sync_batches_pkey,id,True,True,btree
public,outbox_events,idx_outbox_events_pending,"status,created_at",False,False,btree
public,outbox_events,outbox_events_pkey,id,True,True,btree
public,permissions,idx_permissions_module_id_active,"module_id,is_active",False,False,btree
public,permissions,permissions_pkey,id,True,True,btree
public,permissions,ui_permissions_code,code,True,False,btree
public,psp_bank_mappings,idx_psp_bank_mappings_uniq_bank_psp,"bank_id,psp_provider_id",True,False,btree
public,psp_bank_mappings,idx_psp_bank_mappings_uniq_code_psp,"psp_provider_id,psp_bank_code",True,False,btree
public,psp_bank_mappings,idx_psp_mappings_active,is_active,False,False,btree
public,psp_provider_methods,psp_provider_methods_pkey,id,True,True,btree
public,psp_provider_methods,unique_provider_method,"psp_provider_id,method_type,transaction_type",True,False,btree
public,psp_providers,idx_psp_providers_active,is_active,False,False,btree
public,psp_providers,idx_psp_providers_code,code,True,False,btree
public,psp_providers,psp_providers_pkey,id,True,True,btree
public,rebate_accruals,idx_rebate_accruals_created_at,created_at,False,False,btree
public,rebate_accruals,idx_rebate_accruals_pending_settlement,"user_id,wallet_id",False,False,btree
public,rebate_accruals,idx_rebate_accruals_settlement_id,settlement_id,False,False,btree
public,rebate_accruals,idx_rebate_accruals_status,status,False,False,btree
public,rebate_accruals,idx_rebate_accruals_user_id,user_id,False,False,btree
public,rebate_accruals,rebate_accruals_pkey,id,True,True,btree
public,rebate_accruals,uq_rebate_accruals_deal_user,"deal_id,user_id",True,False,btree
public,rebate_distributions,idx_rebate_dist_created_at,created_at,False,False,btree
public,rebate_distributions,idx_rebate_dist_deal_id,deal_id,False,False,btree
public,rebate_distributions,idx_rebate_dist_mt5_account_id,mt5_account_id,False,False,btree
public,rebate_distributions,idx_rebate_dist_platform,platform,False,False,btree
public,rebate_distributions,idx_rebate_dist_rebate_line_id,rebate_line_id,False,False,btree
public,rebate_distributions,idx_rebate_dist_symbol,symbol,False,False,btree
public,rebate_distributions,idx_rebate_dist_trade_ref,trade_reference,False,False,btree
public,rebate_distributions,idx_rebate_dist_user_id,user_id,False,False,btree
public,rebate_distributions,idx_rebate_dist_wallet_id,wallet_id,False,False,btree
public,rebate_distributions,rebate_distributions_pkey,id,True,True,btree
public,rebate_distributions,uq_rebate_dist_deal_user,"deal_id,user_id",True,False,btree
public,rebate_earnings,rebate_earnings_pkey,id,True,True,btree
public,rebate_earnings,uq_rebate_earnings_user_id,user_id,True,False,btree
public,rebate_ledger,idx_rebate_ledger_beneficiary,beneficiary_user_id,False,False,btree
public,rebate_ledger,idx_rebate_ledger_beneficiary_txn_type,"beneficiary_user_id,transaction_type",False,False,btree
public,rebate_ledger,idx_rebate_ledger_created_at,created_at,False,False,btree
public,rebate_ledger,idx_rebate_ledger_executor,executor_user_id,False,False,btree
public,rebate_ledger,idx_rebate_ledger_mt5_ticket,mt5_ticket,False,False,btree
public,rebate_ledger,idx_rebate_ledger_rebate_line_id,rebate_line_id,False,False,btree
public,rebate_ledger,idx_rebate_ledger_scheme_id,rebate_scheme_id,False,False,btree
public,rebate_ledger,idx_rebate_ledger_transaction_id,transaction_id,False,False,btree
public,rebate_ledger,idx_rebate_ledger_type,transaction_type,False,False,btree
public,rebate_ledger,rebate_ledger_entry_code_key,entry_code,True,False,btree
public,rebate_ledger,rebate_ledger_pkey,id,True,True,btree
public,rebate_lines,idx_rebate_lines_executor_user_id,executor_user_id,False,False,btree
public,rebate_lines,idx_rebate_lines_ib_user_id,ib_user_id,False,False,btree
public,rebate_lines,idx_rebate_lines_referral_link_id,referral_link_id,False,False,btree
public,rebate_lines,idx_rebate_lines_scheme_id,rebate_scheme_id,False,False,btree
public,rebate_lines,idx_rebate_lines_status,status,False,False,btree
public,rebate_lines,rebate_lines_pkey,id,True,True,btree
public,rebate_lines,rebate_lines_rebate_line_code_key,rebate_line_code,True,False,btree
public,rebate_lines,uq_rebate_lines_executor_link,"executor_user_id,referral_link_id",True,False,btree
public,rebate_lines,uq_rebate_lines_executor_no_link,executor_user_id,True,False,btree
public,rebate_scheme_caps,idx_rebate_scheme_caps_symbol_id,symbol_id,False,False,btree
public,rebate_scheme_caps,rebate_scheme_caps_pkey,id,True,True,btree
public,rebate_scheme_rates,idx_rebate_scheme_rates_symbol_id,symbol_id,False,False,btree
public,rebate_scheme_rates,rebate_scheme_rates_pkey,id,True,True,btree
public,rebate_schemes,idx_rebate_schemes_hierarchy_depth,hierarchy_depth,False,False,btree
public,rebate_schemes,idx_rebate_schemes_status,status,False,False,btree
public,rebate_schemes,rebate_schemes_pkey,id,True,True,btree
public,rebate_schemes,rebate_schemes_scheme_code_key,scheme_code,True,False,btree
public,rebate_settlements,idx_rebate_settlements_created_at,created_at,False,False,btree
public,rebate_settlements,idx_rebate_settlements_status,status,False,False,btree
public,rebate_settlements,idx_rebate_settlements_transaction_id,transaction_id,True,False,btree
public,rebate_settlements,idx_rebate_settlements_user_id,user_id,False,False,btree
public,rebate_settlements,rebate_settlements_pkey,id,True,True,btree
public,referral_link_clicks,idx_rlc_clicked_at,clicked_at,False,False,btree
public,referral_link_clicks,idx_rlc_link_date,"referral_link_id,clicked_at",False,False,btree
public,referral_link_clicks,idx_rlc_link_id,referral_link_id,False,False,btree
public,referral_link_clicks,referral_link_clicks_pkey,id,True,True,btree
public,referral_links,referral_links_pkey,id,True,True,btree
public,role_module_access,role_module_access_pkey,id,True,True,btree
public,role_module_access,ui_role_module_access_name,"role_id,module_id",True,False,btree
public,role_permissions,role_permissions_pkey,id,True,True,btree
public,role_upgrade_history,role_upgrade_history_pkey,id,True,True,btree
public,roles,roles_pkey,id,True,True,btree
public,roles,ui_roles_code,code,True,False,btree
public,roles,ui_roles_name,name,True,False,btree
public,symbol_custom_group_items,idx_symbol_custom_group_items_group,symbol_custom_group_id,False,False,btree
public,symbol_custom_group_items,symbol_custom_group_items_pkey,id,True,True,btree
public,symbol_custom_group_items,uq_symbol_custom_group_items_symbol,symbol,True,False,btree
public,symbol_custom_groups,symbol_custom_groups_name_key,name,True,False,btree
public,symbol_custom_groups,symbol_custom_groups_pkey,id,True,True,btree
public,symbol_groups,symbol_groups_code_key,code,True,False,btree
public,symbol_groups,symbol_groups_name_key,name,True,False,btree
public,symbol_groups,symbol_groups_pkey,id,True,True,btree
public,symbols,idx_symbols_symbol_group,symbol_group_id,False,False,btree
public,symbols,symbols_pkey,id,True,True,btree
public,symbols,uq_symbols_symbol,symbol,True,False,btree
public,temp_mt5_accounts,idx_temp_mt5_accounts_login,login,False,False,btree
public,temp_mt5_accounts,idx_temp_mt5_accounts_processed_at,processed_at,False,False,btree
public,temp_mt5_accounts,idx_temp_mt5_accounts_status,status,False,False,btree
public,temp_mt5_accounts,temp_mt5_accounts_pkey,id,True,True,btree
public,temp_mt5_deals,idx_temp_mt5_deals_deal,deal,False,False,btree
public,temp_mt5_deals,idx_temp_mt5_deals_login,login,False,False,btree
public,temp_mt5_deals,idx_temp_mt5_deals_processed_at,processed_at,False,False,btree
public,temp_mt5_deals,idx_temp_mt5_deals_status,status,False,False,btree
public,temp_mt5_deals,temp_mt5_deals_pkey,id,True,True,btree
public,temp_mt5_positions,idx_temp_mt5_positions_login,login,False,False,btree
public,temp_mt5_positions,idx_temp_mt5_positions_position,position,False,False,btree
public,temp_mt5_positions,idx_temp_mt5_positions_processed_at,processed_at,False,False,btree
public,temp_mt5_positions,idx_temp_mt5_positions_status,status,False,False,btree
public,temp_mt5_positions,temp_mt5_positions_pkey,id,True,True,btree
public,third_party_api_logs,idx_third_party_api_logs_created_at,created_at,False,False,btree
public,third_party_api_logs,idx_third_party_api_logs_provider,provider,False,False,btree
public,third_party_api_logs,idx_third_party_api_logs_reference_id,reference_id,False,False,btree
public,third_party_api_logs,third_party_api_logs_pkey,id,True,True,btree
public,transaction_psp_details,idx_txn_psp_provider,psp_provider,False,False,btree
public,transaction_psp_details,transaction_psp_details_pkey,transaction_id,True,True,btree
public,transaction_psp_details,transaction_psp_details_psp_request_id_key,psp_request_id,True,False,btree
public,transactions,idx_transactions_mt5_ticket_type,"mt5_ticket,type",True,False,btree
public,transactions,idx_txn_active_user_created,"user_id,created_at",False,False,btree
public,transactions,idx_txn_dest_mt5,destination_mt5_account_id,False,False,btree
public,transactions,idx_txn_dest_wallet,destination_wallet_id,False,False,btree
public,transactions,idx_txn_reference_id,reference_id,True,False,btree
public,transactions,idx_txn_src_mt5,source_mt5_account_id,False,False,btree
public,transactions,idx_txn_src_wallet,source_wallet_id,False,False,btree
public,transactions,idx_txn_user_created,"user_id,created_at",False,False,btree
public,transactions,idx_txn_user_status_created,"user_id,status,created_at",False,False,btree
public,transactions,idx_txn_user_type_created,"user_id,type,created_at",False,False,btree
public,transactions,transactions_pkey,id,True,True,btree
public,transactions,transactions_reference_id_key,reference_id,True,False,btree
public,transactions,transactions_transaction_number_key,transaction_number,True,False,btree
public,user_permission_overrides,user_permission_overrides_pkey,id,True,True,btree
public,user_profiles,idx_user_profiles_user_id,user_id,False,False,btree
public,user_profiles,user_profiles_pkey,id,True,True,btree
public,user_roles,user_roles_pkey,id,True,True,btree
public,user_sessions,user_sessions_pkey,id,True,True,btree
public,users,idx_users_cid_seq,cid_seq,True,False,btree
public,users,idx_users_hierarchy_depth,hierarchy_depth,False,False,btree
public,users,idx_users_hierarchy_path,hierarchy_path,False,False,btree
public,users,idx_users_hierarchy_path_trgm,hierarchy_path,False,False,gin
public,users,idx_users_ib_code,ib_code,False,False,btree
public,users,idx_users_ib_status,ib_status,False,False,btree
public,users,idx_users_kyc_status,kyc_status,False,False,btree
public,users,idx_users_referral_link_id_created_at,"referral_link_id,created_at",False,False,btree
public,users,idx_users_referrer_user_id,referrer_user_id,False,False,btree
public,users,idx_users_rm_user_id,rm_user_id,False,False,btree
public,users,users_ib_code_key,ib_code,True,False,btree
public,users,users_pkey,id,True,True,btree
public,wallet_transactions,idx_wallet_txn_created_at,created_at,False,False,btree
public,wallet_transactions,idx_wallet_txn_event_type,event_type,False,False,btree
public,wallet_transactions,idx_wallet_txn_psp_detail,psp_detail_id,False,False,btree
public,wallet_transactions,idx_wallet_txn_reference,"reference_type,reference_id",False,False,btree
public,wallet_transactions,idx_wallet_txn_status,status,False,False,btree
public,wallet_transactions,idx_wallet_txn_transaction_id,transaction_id,False,False,btree
public,wallet_transactions,idx_wallet_txn_type,transaction_type,False,False,btree
public,wallet_transactions,idx_wallet_txn_user_created,"user_id,created_at",False,False,btree
public,wallet_transactions,idx_wallet_txn_wallet_id,wallet_id,False,False,btree
public,wallet_transactions,uq_wallet_txn_reference,"reference_type,reference_id",True,False,btree
public,wallet_transactions,wallet_transactions_pkey,id,True,True,btree
public,wallets,idx_wallets_status,status,False,False,btree
public,wallets,idx_wallets_user_id,user_id,False,False,btree
public,wallets,idx_wallets_wallet_type,wallet_type,False,False,btree
public,wallets,uq_wallets_code,wallet_code,True,False,btree
public,wallets,uq_wallets_user_type,"user_id,wallet_type",True,False,btree
public,wallets,wallets_pkey,id,True,True,btree
