column_name,go_field,enum_value,go_const,enum_group,source_struct
calculation_type,CalculationType,CONTRACT_SIZE,CalculationTypeContractSize,CalculationType,RebateSchemeRate
calculation_type,CalculationType,FIX_LOT,CalculationTypeFixLot,CalculationType,RebateSchemeRate
calculation_type,CalculationType,SPREAD_PCT,CalculationTypeSpreadPct,CalculationType,RebateSchemeRate
rate_target_type,RateTargetType,SYMBOL,RateTargetSymbol,RateTargetType,RebateSchemeRate
rate_target_type,RateTargetType,SYMBOL_CUSTOM_GROUP,RateTargetSymbolCustomGroup,RateTargetType,RebateSchemeRate
rate_target_type,RateTargetType,SYMBOL_GROUP,RateTargetSymbolGroup,RateTargetType,RebateSchemeRate
